ImageNumber,ObjectNumber,FileName_Draq5,FileName_Vimentin,PathName_Draq5,PathName_Vimentin,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensityEdge_Vimentin,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_Vimentin,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_Vimentin,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_Vimentin,Intensity_MassDisplacement_Draq5,Intensity_MassDisplacement_Vimentin,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensityEdge_Vimentin,Intensity_MaxIntensity_Draq5,Intensity_MaxIntensity_Vimentin,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_Vimentin,Intensity_MeanIntensity_Draq5,Intensity_MeanIntensity_Vimentin,Intensity_MedianIntensity_Draq5,Intensity_MedianIntensity_Vimentin,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_Vimentin,Intensity_MinIntensity_Draq5,Intensity_MinIntensity_Vimentin,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensityEdge_Vimentin,Intensity_StdIntensity_Draq5,Intensity_StdIntensity_Vimentin,Intensity_UpperQuartileIntensity_Draq5,Intensity_UpperQuartileIntensity_Vimentin,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_X_Vimentin,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Y_Vimentin,Location_CenterMassIntensity_Z_Draq5,Location_CenterMassIntensity_Z_Vimentin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_X_Vimentin,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_Vimentin,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_Vimentin,Number_Object_Number
1,1,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,5962,10750,770,535,684,410,727.0045286816504,468.489600805099,3.665996997163397,7483,0.7977647796332253,87.12665588504497,-9,0.5546046511627907,0.2727770919544561,116.23350121942303,125.29964086141668,31.144823004794873,10.449310209949196,9.0,78.40410539125959,70.08517307330565,9.457879252223652,524.0792565073284,0.7967392756915676,3.055115637369454,3.1088273990899324,36.978546479251236,45.405753327999264,0.005111772567033768,0.006927595939487219,0.0007782098837196827,0.0004882887005805969,2.8645747849426906,0.716933036725605,0.013687342405319214,0.00712596345692873,0.013687342405319214,0.011139086447656155,0.0066560253537460866,0.006773044442461727,0.006202372774111244,0.007615859330425908,0.005767910275608301,0.007339589763432741,0.003570611122995615,0.006393530406057835,0.0032501716632395983,0.006393530406057835,0.0020134261646085417,0.00011093294462575282,0.0015944798551440712,0.0008664365688101364,0.00680552376434207,0.008102540858089924,724.1933268300121,727.4670742565885,467.9392074476947,467.9418375622159,0.0,0.0,727.0045286816504,468.489600805099,0,693.0,738.0,465.0,450.0,0.0,0.0,1
1,2,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,9527,15912,307,587,203,434,255.662223155243,512.6568699485672,3.3449798150670653,11196,0.7689153283280575,110.13697445768108,-14,0.5987305178481649,0.29895546618715557,141.8783637241199,155.7562197795003,40.024992192379,13.73791076704998,12.041594578792296,96.30461554595176,90.71002009650874,-11.608749220484045,632.819371877506,0.850928903179707,4.68369580199942,3.825406335759908,64.99110508104786,74.65389593085274,0.005615320056676865,0.0069886320270597935,0.0009002820588648319,0.0006713969632983208,2.654988408281968,1.0060313104321783,0.01739528588950634,0.007171740289777517,0.01739528588950634,0.011139086447656155,0.008289727083184813,0.006770630682760899,0.006821780736963143,0.007836034001349086,0.006393530406057835,0.007553216069936752,0.0038452735170722008,0.006439307238906622,0.003356984816491604,0.006439307238906622,0.002758566833191395,0.00011633604437998992,0.0017638917468794416,0.0009788278979817756,0.007553216069936752,0.00857557076960802,257.5744769989246,254.656980380181,514.498675770427,512.6966940713518,0.0,0.0,255.662223155243,512.6568699485672,0,295.0,250.0,546.0,495.0,0.0,0.0,2
1,3,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,1427,2240,338,1024,258,996,292.97266993693063,1012.8766643307638,3.114824804291571,1526,0.9325882204123775,42.62526047236635,-5,0.6370535714285714,0.32104534374524407,74.75703716160551,79.30952023559341,12.36931687685298,4.410377885044978,3.605551275463989,27.0,26.98296318371422,84.98804919533556,236.3380951166243,0.935124508519004,0.4437018397729844,0.9332723156549037,4.6432288193609565,10.358312519267201,0.002960250247269869,0.006866559851914644,0.00027466239407658577,0.0003204392269253731,0.4929151826799754,0.8773566580006094,0.004974441137164831,0.007080186158418655,0.0050049591809511185,0.00949111208319664,0.0032152307229926405,0.006762842867064519,0.0032538393968892477,0.007258803447279048,0.003219653619453311,0.007156481500715017,0.0023651483934372663,0.006439307238906622,0.002288853283971548,0.006439307238906622,0.0004536246011397345,0.000125777612344239,0.00040703335962243936,0.0005022319536907259,0.0035095750354230404,0.007537956815212965,293.45355480036267,293.83734413264983,1012.7684278977184,1013.0253022821603,0.0,0.0,292.97266993693063,1012.8766643307638,0,284.0,324.0,1003.0,1023.0,0.0,0.0,3
2,1,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,1739,2703,159,245,108,192,132.73375503162737,218.11730879815985,3.597515332805737,2130,0.35196281932938955,47.05489951423176,-8,0.6433592304846467,0.27796962833792577,50.2864725579327,56.22277118748239,16.97056274847714,5.585243767403561,4.47213595499958,48.40645520651535,47.06884140115518,-6.683663174855273,280.38582233137674,0.8164319248826291,0.977798133622855,1.737346488982439,6.728969322750345,13.268146992195398,0.0023498893715441227,0.006912337150424719,0.0010757612762972713,0.0005798428319394588,0.555060252550437,0.24666229579563526,0.009033340960741043,0.008102540858089924,0.0158541239798069,0.0117952236905694,0.003864814757402589,0.006866982169891064,0.0038694475691491343,0.007629756752268774,0.0034256504150107503,0.007446402683854103,0.002243076218292117,0.0060883499681949615,0.0022278171963989735,0.006057831924408674,0.0016455084359241156,0.0003903395719643414,0.0017286945163890411,0.0009435785251708113,0.004715037997812033,0.008133058436214924,133.15828728418762,132.97641594126227,217.75972768778422,218.1615577654058,0.0,0.0,132.73375503162737,218.11730879815985,0,135.0,132.0,229.0,215.0,0.0,0.0,1
2,2,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,4370,10492,695,302,573,216,635.1924485125858,260.0121281464531,21.557048480898946,6032,0.9118747198646092,74.59260560198082,-73,0.4165078154784598,0.046388539733817,127.29406209901063,140.06427096158393,13.152946437965905,3.706620901762582,2.8284271247461903,53.470588235294116,52.250219130813186,60.2622928422652,1088.0285706997456,0.7244694960212201,3.6117037057410926,7.103456283453852,15.378317081136629,31.03709518397227,0.002334630349650979,0.006698710843920708,0.0006408789195120335,0.0003509572707116604,0.08199314315489203,0.13585388993336797,0.01028458122164011,0.008392462506890297,0.015396352857351303,0.009689479134976864,0.003479483338864251,0.006843406824136659,0.0035190656936239426,0.007102310110748803,0.002944991225376725,0.007019150070846081,0.00221255817450583,0.0060120546258986,0.00221255817450583,0.0060120546258986,0.001450379864336515,0.0003623084036390652,0.00150680959618673,0.0005603390211329709,0.004272526130080223,0.007400625851005316,635.1808064917997,635.3199527252173,259.9309657236428,260.0590211648167,0.0,0.0,635.1924485125858,260.0121281464531,0,611.0,662.0,253.0,270.0,0.0,0.0,2
2,3,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,2931,7820,261,369,176,277,217.6113954281815,322.7956328897987,39.091716474404706,5125,0.659886544693483,61.088993326283926,-68,0.37480818414322253,0.025580867001702264,82.50992050582482,94.81033698917012,11.045361017187261,2.277789077646201,1.4142135623730951,69.31810730249349,61.99508755484952,-40.19427530399604,1199.9280656363574,0.5719024390243902,5.027847778517753,7.86855891533196,12.623285431414843,20.419119876343757,0.0025787746999412775,0.006622415501624346,0.0013275349047034979,0.0003051804378628731,1.6889993837531703,0.053950104833311224,0.021240558475255966,0.008239871822297573,0.021240558475255966,0.009170671924948692,0.004356887156427862,0.006818508592142079,0.004306818639172583,0.006966605211990364,0.003830014495179057,0.0068970778957009315,0.002243076218292117,0.005966277793049812,0.002243076218292117,0.005966277793049812,0.0021377840088743034,0.0003592896195919678,0.0020348625561295644,0.0004810129567145362,0.0052986955270171165,0.007248035632073879,219.27752105344857,217.6356747801329,322.5186052392888,322.8438109644836,0.0,0.0,217.6113954281815,322.7956328897987,0,239.0,202.0,318.0,326.0,0.0,0.0,3
2,4,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,15874,28640,312,571,152,392,231.37249590525388,482.74889756835074,27.6651222004811,20205,0.40987821851678535,142.16681938176,-134,0.5542597765363129,0.0361465961636927,152.97930871866933,181.46349495146399,46.861498055439924,11.750573582308807,7.810249675906654,148.8705015424755,139.53858576449989,3.213552553075564,2349.169839771699,0.785647117050235,12.62986206379719,15.036118360236287,97.15321710333228,126.93003920931369,0.003707942320033908,0.006866559851914644,0.0019531550351530313,0.0006561381742358208,7.73800622714132,1.6849514643717298,0.021744105964899063,0.008484016172587872,0.05526817589998245,0.019409475848078728,0.005740846392635087,0.006834599254652858,0.006120273220570258,0.007996096712190606,0.005416953004896641,0.007400625851005316,0.0022278171963989735,0.006027313880622387,0.0022278171963989735,0.005951018538326025,0.003212721176910725,0.00036133408001033077,0.0031930566076777108,0.0017341084554848862,0.007797360420227051,0.008438238874077797,236.90521954954662,230.3262473751496,488.1586766254992,481.4281305750688,0.0,0.0,231.37249590525388,482.74889756835074,0,218.0,215.0,547.0,474.0,0.0,0.0,4
2,5,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,4641,8755,700,782,615,679,658.0754147812971,733.6425339366516,18.787538965928757,6215,0.6307072544630133,76.87070135699226,-65,0.5300970873786408,0.053226769180013525,92.40703464054809,102.07840124139877,16.401219466856727,4.043557762795628,3.0,80.1647627651276,71.70978553993316,-11.503105093370925,1046.7564927611033,0.7467417538213998,4.975310978712514,6.489952050615102,23.469932432752103,32.81942529324442,0.003265430685132742,0.00666819280013442,0.001495384145528078,0.0003509572707116604,1.3108645017501186,0.190073432491185,0.017883574590086937,0.009308003820478916,0.02209506370127201,0.009903104975819588,0.00523716945127633,0.006831528474331687,0.005057085204212907,0.007071627945107611,0.0046082246117293835,0.0069886320270597935,0.0022735942620784044,0.0059967958368361,0.0022278171963989735,0.00588998245075345,0.0024605168035167946,0.00037792985750997545,0.0023211536999195015,0.0005541352099578004,0.00633249431848526,0.0073701078072190285,659.2477644506704,657.926218877569,734.2290166684255,733.760298498595,0.0,0.0,658.0754147812971,733.6425339366516,0,665.0,638.0,774.0,752.0,0.0,0.0,5
2,6,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,3818,7208,68,792,0,686,21.592980618124674,732.2794656888424,10.142163133480967,5444,0.8659624943782388,69.72251129871077,-22,0.5296892341842397,0.09859829573228157,111.78846125689996,106.02358228243375,16.1245154965971,5.102637144531732,4.123105625617661,67.0,55.90640958567197,-11.336384780213704,697.5706345359768,0.7013225569434239,3.3440452108625323,3.919371396768838,22.768826148705557,28.704005917534232,0.0038452735170722008,0.006866559851914644,0.0018158236052840948,0.0005340655334293842,0.8463050003599585,0.7548278283253526,0.016449226066470146,0.008255130611360073,0.024979019537568092,0.01191729586571455,0.005836030036409306,0.006840089697676855,0.005963547969802399,0.007518073839060825,0.005493247881531715,0.007324330508708954,0.0022583352401852608,0.006057831924408674,0.0022583352401852608,0.005981536582112312,0.002743677294551412,0.000377643231226238,0.00278676323368273,0.0008871174963357809,0.00758373411372304,0.007995727472007275,21.950831510767337,20.858308151784577,733.0463912994912,732.4527325859004,0.0,0.0,21.592980618124674,732.2794656888424,0,23.0,0.0,772.0,760.0,0.0,0.0,6
2,7,Trial1_10_40-0002.tif,Trial1_10_40-0001.tif,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day3_N1_Vimentin_231/A/A_FIP,1392,2816,215,898,151,854,183.13362068965517,874.4691091954023,9.583358915797776,2010,0.8062129041304756,42.099280828433955,-14,0.4943181818181818,0.10434754753383398,58.509341276443735,63.788713735268246,10.63014581273465,3.250877087153067,2.23606797749979,41.958663131285604,34.61561932393669,-80.7856586400452,409.43354954612926,0.6925373134328359,2.2125124279409647,2.6388952881097794,7.849744524806738,9.805508663877845,0.0035858701448887587,0.00666819280013442,0.0017090104520320892,0.0003204392269253731,1.235820079515485,0.05503822040906916,0.02212558127939701,0.007995727472007275,0.02212558127939701,0.009567406959831715,0.005761751114429596,0.006872123146119217,0.005639184285062312,0.007044187258532934,0.005233844742178917,0.006958113983273506,0.002288853283971548,0.006073090713471174,0.0022583352401852608,0.005981536582112312,0.0029333421932927926,0.0003388598130022776,0.0026612768853571884,0.0005286178361942342,0.007064927369356155,0.007339589763432741,183.3547789420378,183.1042663884304,875.6849793761111,874.5156659425546,0.0,0.0,183.13362068965517,874.4691091954023,0,194.0,188.0,897.0,885.0,0.0,0.0,7
